text,category
Do children with low birth weight at the risk for diabetes as adults?,pur_student1
What is an example of post-starvation obesity?,pur_student1
What are the weight loss interventions available for overweight and obese patients?,pur_student1
How does chronic stress associated with posttraumatic stress disorder (PSTD) interact with obesity?,pur_student1
How does stress influence food intake?,pur_student1
Has worldwide percentage of overweight population increased in past 30 years?,pur_student1
Is it possible that chronic stress has greater effect on weight gain than acute stress?,pur_student1
Does stress in family cause obesity in children?,pur_student1
Do men have greater stress eating weight gain compared to women?,pur_student1
Are women living in poor neighborhood have higher chances of being obese?,pur_student1
Do people regain weight because of stress-eating?,pur_student1
"What is the relationship between stress, social position and body weight?",pur_student1
What are some behavioral interventions to cope with stress-related eating?,pur_student1
How does stress-related food intake differ in animals and humans?,pur_student1
Does BMI measure body fat and muscle accurately?,pur_student1
How is stress and sedentary behavior related?,pur_student1
What are the some causes for overeating among adolescents and young adults?,pur_student1
Why do people eat more when stressed?,pur_student1
How does less engagement in physical activity associated with stress?,pur_student1
How does transition to college cause weight gain in students ?,pur_student1
How does women in disadvantaged neighborhood increase their chances of obesity?,pur_student1
Is stress eating behavior more prevalent among adolescent girls than boys?,pur_student1
How does stress affect eating behavior in male and female students?,pur_student1
What type of stress at college increases the risk of weight gain for students?,pur_student1
What is emotional eating and how is it associated with weight gain?,pur_student1
Is it possible that obesity and weight gain may lead to stress?,pur_student1
How does understanding emotional eating during college prevent adult obesity?,pur_student1
How does stress contribute to higher intake of fast food consumption?,pur_student1
What is the biological mechanism behind the urge to eat more when stressed?,pur_student1
How does stress-related eating increase risk of adolescent obesity?,pur_student1
What are the risks of Caesarean section for obese pregnant women?,pur_student10
What are the recommendations for obese pregnant women ?,pur_student10
What are the consequences of maternal obesity on offspring outcomes ?,pur_student10
What is the success rate of VBAC (Vaginal Birth After Caesarean section)for obese pregnant women ?,pur_student10
Which part of the fetus of obese mother might be less well seen for sonographers ?,pur_student10
How does obesity affect reproductive functions ?,pur_student10
What psychological symptoms can hunger induce ?,pur_student10
How many calories should I eat per day if I want to lose weight?,pur_student10
What percentage should the fat intake be if I want to lose weight?,pur_student10
What dangers might happen if pregnant women gain too much weight ?,pur_student10
What percentage should the carbohydrates intake be if I want to lose weight?,pur_student10
"How does obesity cause irregular menstrual cycles, which in turn cause infertility?",pur_student10
To what extent does high BMI affect the probability of pregnancy?,pur_student10
What BMI is obese for pregnant women ?,pur_student10
What lifestyle measures can be done to maintain weight loss ?,pur_student10
How are irregular menstrual cycles caused by obesity ?,pur_student10
What dangers can pre-pregnent obesity induce ?,pur_student10
What complications might occur for obese women undergoing Caesarean section ?,pur_student10
What are the risks of excess weight gain during pregnancy?,pur_student10
What will the BMI be for obese pregnant women ?,pur_student10
What risks are associated with pre-pregnant obesity?,pur_student10
What are the physiological difference between normal and obese pregnant women ?,pur_student10
what factors can be used to predict higher BMI in children ?,pur_student10
What are the predictors for higher BMI in children ?,pur_student10
What is the prevalence of obesity in the southern United States?,pur_student11
Does people in New Jersey who commute with trains more likely to be obese?,pur_student11
How is local public transit system related to physical activity?,pur_student11
What are some causes for Americans to be more obese than Europeans?,pur_student11
I am from Indiana and I am 13. Am I more likely to be obese than other children of my age in the future?,pur_student11
Does living in an African-American neighborhood increase the likelihood of me being obese?,pur_student11
How does local public transit system help me with weight lose?,pur_student11
What caused the international obesity rates?,pur_student11
Does the food prices in local grocery stores have any effects to children's weight?,pur_student11
How do exercise and diets associate with obesity?,pur_student11
How does the physical aspects of a neighborhood environment relate to obesity?,pur_student11
Does having more grocery stores help lower down the local obesity rates?,pur_student11
What are the benefits of physical activity?,pur_student11
How will my family history affect me of being obese?,pur_student11
Will a bad sleeping pattern cause obesity?,pur_student11
How does local active transportation affect my weight?,pur_student11
How does public transportation system relate to obesity?,pur_student11
Is there a higher chance for me to be obese if I live in the rural area where there is no supermarket in my neighborhood?,pur_student11
"I moved from England to the United States last year, what are some possible factors that made me fatter?",pur_student11
Am I more likely to be obese if I am from the southern United States?,pur_student11
Which state has the highest rate of obesity?,pur_student11
Does it affect my diets if there is only limited numbers of grocery stores near my neighborhood?,pur_student11
Does the local fruit price affect my children's weight?,pur_student11
I am from Utah and I am 10. Am I more likely to be obese than other children of my age in the future?,pur_student11
Is the built environments of my neighborhood related to obesity?,pur_student11
Does the local vegetable price affect my children's weight?,pur_student11
Which state has the lowest rate of obesity?,pur_student11
Does active transportation contribute to the lower obesity rate in Europe?,pur_student11
Which state has a lower prevalence of obesity for children?,pur_student11
Which state has a higher childhood obesity rate?,pur_student11
Which state has the lowest prevalence of obese girls?,pur_student11
What is the prevalence of obese boys in the United States?,pur_student11
What is the prevalence of obese girls in the United States?,pur_student11
Which state has the highest prevalence of children who are at risk of overweight?,pur_student11
Which state has the lowest prevalence of children who are at risk of overweight?,pur_student11
How many school aged children in the United States are overweight?,pur_student11
Which state has the lowest prevalence of obese boys?,pur_student11
How often should screening be done?,pur_student11
What are some factors for women to gain fat?,pur_student11
What can cause the inaccuracy of the BMI classification?,pur_student11
Does eating less help with losing weight?,pur_student11
How does gastric bypass surgery perform?,pur_student12
Is there any failure to achieve control of the diabetes with NIDDM?,pur_student12
Does the NIDDM always success?,pur_student12
Why does the NIDDM fail?,pur_student12
What reasons cause the failure ot achieve control of the diabetes with NIDDM?,pur_student12
What kind of patients have good glucose control?,pur_student12
When did the first morbid obesity perform?,pur_student12
Does operations improve carbohydrate metabolism if they effect weight loss?,pur_student12
How many adult Americans have obesity?,pur_student12
Which patients who do not return to euglycemia do tend to be?,pur_student12
How much percentage of adult people in US are obese?,pur_student12
Was gastric bypass more effective in producing weight loss?,pur_student12
How many adult people in Americans are morbidly obese?,pur_student12
