text,Category
Do children with low birth weight at the risk for diabetes as adults?,diabetes
What is an example of post-starvation obesity?,diet
What are the weight loss interventions available for overweight and obese patients?,obesity
How does chronic stress associated with posttraumatic stress disorder (PSTD) interact with obesity?,stress eating
How does stress influence food intake?,stress eating
Has worldwide percentage of overweight population increased in past 30 years?,stress eating
Is it possible that chronic stress has greater effect on weight gain than acute stress?,stress eating
Does stress in family cause obesity in children?,stress eating
Do men have greater stress eating weight gain compared to women?,stress eating
Are women living in poor neighborhood have higher chances of being obese?,geo-location
Do people regain weight because of stress-eating?,stress eating
"What is the relationship between stress, social position and body weight?",stress eating
What are some behavioral interventions to cope with stress-related eating?,stress eating
How does stress-related food intake differ in animals and humans?,stress eating
Does BMI measure body fat and muscle accurately?,obesity
How is stress and sedentary behavior related?,stress eating
What are the some causes for overeating among adolescents and young adults?,age
Why do people eat more when stressed?,stress eating
How does less engagement in physical activity associated with stress?,stress eating
How does transition to college cause weight gain in students ?,stress eating
How does women in disadvantaged neighborhood increase their chances of obesity?,gender
Is stress eating behavior more prevalent among adolescent girls than boys?,stress eating
How does stress affect eating behavior in male and female students?,stress eating
What type of stress at college increases the risk of weight gain for students?,stress eating
What is emotional eating and how is it associated with weight gain?,stress eating
Is it possible that obesity and weight gain may lead to stress?,stress eating
How does understanding emotional eating during college prevent adult obesity?,stress eating
How does stress contribute to higher intake of fast food consumption?,stress eating
What is the biological mechanism behind the urge to eat more when stressed?,stress eating
How does stress-related eating increase risk of adolescent obesity?,stress eating
What are the risks of Caesarean section for obese pregnant women?,pregnancy
What are the recommendations for obese pregnant women ?,pregnancy
What are the consequences of maternal obesity on offspring outcomes ?,pregnancy
What is the success rate of VBAC (Vaginal Birth After Caesarean section)for obese pregnant women ?,pregnancy
Which part of the fetus of obese mother might be less well seen for sonographers ?,pregnancy
How does obesity affect reproductive functions ?,pregnancy
How many calories should I eat per day if I want to lose weight?,diet
What percentage should the fat intake be if I want to lose weight?,diet
What dangers might happen if pregnant women gain too much weight ?,pregnancy
What percentage should the carbohydrates intake be if I want to lose weight?,diet
"How does obesity cause irregular menstrual cycles, which in turn cause infertility?",pregnancy
To what extent does high BMI affect the probability of pregnancy?,pregnancy
What BMI is obese for pregnant women ?,pregnancy
What lifestyle measures can be done to maintain weight loss ?,exercise
How are irregular menstrual cycles caused by obesity ?,pregnancy
What dangers can pre-pregnent obesity induce ?,pregnancy
What complications might occur for obese women undergoing Caesarean section ?,pregnancy
What are the risks of excess weight gain during pregnancy?,pregnancy
What will the BMI be for obese pregnant women ?,pregnancy
